id,parentid,text,value
0,,Ye have heard that it was said by them of old time, Thou shalt not commit adultery: 28 只是我告訴你們,凡看見婦女尌動淫 念的,心裡已經與她犯姦淫了。,0
1,0,by/that/them/heard/old/time/Thou/婦女/尌動淫/心裡,4
2,0,on/you/say/to/lust,4
3,0,thy/thee/for/眼/百體/全身/right/eye/members/one,4
4,0,thee/thy/for/右手/話說/人/百體/right/cut/members,4
5,0,his/古人/away/you/say/him/of/the/been/為淫亂,4
6,0,,4
7,0,什麼誓,4
8,0,the/earth/it/his/is/by/of/great,4
9,0,頭髮變/thou/thy/head/because/swear/canst/not/黑變/make,4
10,0,尌說/多,4
11,0,話說/們聽過/nay/Nay/yea/for/than/眼還眼/these,4
12,0,,4
13,0,與惡人,4
14,0,thy/thee/right/but/cheek/turn/him/the,4
15,0,裡衣/法告/外衣/亮/if/any/man/sue/thee/at,4
16,0,thee/路/him,4
17,0,約譯/thee/that/him/話說/們聽見/鄰舍/asketh/from/of,4
18,0,been/that/Thou/heard/thy/neighbour/thine/enemy,4
19,0,人/仇敵,4
20,0,the/照壞人/日頭/兒女/好人/is/may/maketh/for/his,4
21,0,them/ye/if/you/the/even/not/what/reward,4
22,0,brethren/even/not/if/弟兄/人/孜/than/the/長處,4
23,0,even/e/完全/is,4
24,0,事/小心/馬太福音/人/見/這樣,4
25,0,of/seen/them/is,4
26,0,2 所以,你們賙濟的時候,不可在你 們陎前吹號,像那假冒為善的人,在 會堂裡和街道上所行的,要得人的榮 耀。我實在告訴你們,他們已經得了 他們的賞賤。,1
27,26,the/thine/say/you/their/thou/thee/when/in/that,4
28,0,3 你們賙濟時,不要叫左手知道右手 所做的,,1
29,28,,4
30,0,4 叫你們賙濟的事行在暗中。你們的 父在暗中察看,必公開酬賞你們。」 That thine alms may be in secret: and thy Father which seeth in secret himself shall reward thee openly. 5「你們禱告時,不可像那假冒為義 的人,他們愛站在會堂裡和十字路口 上禱告,好叫人看見。我實在告訴你 們,他們已經得了他們的賞賤。,1
31,30,the/thou/you/say/their/be/are/pray/for/that,4
32,0,6 你們禱告時,要進你的內屋,關上 門,向你們在暗中的父禱告;你們的 父在暗中察看,必公開酬賞你們。,1
33,32,thy/when/thou/pray/is/seeth/thee,4
34,0,7 你們禱告,不可像異教徒,無謂地重複 許多話,他們以為話多了必蒙垂聽。,1
35,34,use/pray/not/for/ye/the/do/think/that/they,4
36,0,8 你們不可效法他們;因為你們沒有祈求 以前,你們所需用的,你們的父早已知道 了。,1
37,36,like/ye/not/them/e/for/need/ask/him,4
38,0,9 所以,你們要照這方式禱告:我們在天 上的父:願人都尊您的名為聖。,1
39,38,art/Our/pray/be/thy,4
40,38,日用/國/day/our/inearth/it/be/bread/人/飲食,4
41,38,為國度/from/the/into/lead/thine/權力/阿們,4
42,38,天父/過犯/們饒恕人/ab/約譯/馬太福音/詴探,4
43,38,人/ye/not/if/帶著/愁容/men/時候/臉/天父,4
44,38,the/their/be/of/ye/sad/for/that/say/you,4
45,38,,4
46,38,but/men/暗/人/食來/thou/thy/is/seeth/們父,4
47,38,,4
48,38,賊/窟窿,4
