id,parentid,text,value
0,,跳转到主要内容,0
1,0,内容/前端/博客/技术/教程/最新/译文/点击链/工具/大,4
2,0,术语/引擎/高大/模板/语言/类似/CSS/强大/力量/激进,4
3,0,优劣/引擎/技术/括号/感觉/模板/尖/工具/好坏/简洁,4
4,0,文档/官方/英文/小节/经验/字/内容/典序/精/目的,4
5,0,直接/简单/过程/npm/多/阴影/页面/古语,4
6,0,EN/org/TR/学长/DTD/www,4
7,0,类型/可读性/标签/功夫/彻底/敏感/括号/语法/表面/文档,4
8,0,li/l/<ul/Item/C</列表/ul/简单/全程/顾虑,4
9,0,方法/上述/嵌套/混乱/用法/标签/多/jade/错误/img,4
10,0,情况/正确/错误/环境/祸/一致/空格/进格式/统一/tab,4
11,0,单行/文件/注释会/多/差别/内容/注释符号/注释/模式/下一行,4
12,0,属性/文件/agreement/多/注释会/一致/条件/语法/行/形式,4
13,0,href/<a/字面量/about/频繁/类名/类/名字面量/类似/用法,4
14,0,link/button/div/<a/i/d/buttona/属性/linka,4
15,0,文本/green/管道/语法/foo/插值/官方/话/随性/li,4
16,0,字符串/{}`/条件/语句/span/问题/标签/be/情况/安全性,4
17,0,else/user/has/foo/bar/条件/var/why/not/id,4
18,0,con/多/逻辑/分支/var/结构/繁琐/语言/条件/语句,4
19,0,you/when/条件/friend/break/语法/var/所有/结果/内容,4
20,0,li/you/val/when/<ul/对象/ul/var/one</two,4
21,0,li/div/foo/ul/href/混合宏/<ul/<h1/list/mixin,4
22,0,,4
23,0,<head/src/jadehead/代码/div/码片段/foobar</id/片段/代码段,4
24,0,代码/head/片段/<h1/My/<head/上述/方式/页面/码片段,4
25,0,extend/head/<head/p/src/caustic,4
26,0,总结,1
27,26,引擎/模板/代码/简洁/梦想/优美/愉悦/人生,4
28,26,社交/个人/色彩/作家/图形/本科/学生/狂热/在校/视觉,4
29,26,技术/指南/教程/工场/墨鱼/html/com/行业/出处/烦请,4
30,26,长期/团队/项目/强大/站/主题/企业/广告,4
31,26,大漠/深入/核心/中国/语言/认识/脚本/丰富/常用/技术,4
32,26,著名/经验/作品/专家/领域/weibo/心血/最新/CSS3/作者,4
33,26,系统/所有/知识/全面/理论/静态/云/牛/详细/选择器,4
34,26,商业/com/作者/http/原文/著作权/出处/所有/html/www,4
